floor,width,height,monster_pool,item_pool,chest_count,mimic_prob,trap_prob,min_lvl,max_lvl,map_type,has_boss,boss_count,boss_ids
18,75,55,"GOBLIN,ORC","하급 체력 물약,하급 마력 물약,낡은 검",2,0.14,0.104,18,20,NORMAL,0,0,
19,75,55,"GOBLIN,ORC,SLIME","하급 체력 물약,하급 마력 물약,낡은 검",2,0.145,0.107,19,21,NORMAL,0,0,
20,80,60,"GOBLIN,ORC,SLIME","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검",3,0.150,0.11,20,22,NORMAL,0,0,
21,80,60,"GOBLIN,ORC,SLIME","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검",3,0.155,0.113,21,23,NORMAL,0,0,
22,80,60,"GOBLIN,ORC,SLIME","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검",3,0.16,0.116,22,24,NORMAL,0,0,
23,80,60,"GOBLIN,ORC,SLIME","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검",3,0.165,0.119,23,25,NORMAL,0,0,
24,80,60,"GOBLIN,ORC,SLIME","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검",3,0.170,0.122,24,26,NORMAL,0,0,
25,85,65,"GOBLIN,ORC,SLIME","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검",3,0.175,0.125,25,27,BOSS,1,1,BUTCHER
26,85,65,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.18,0.128,26,28,NORMAL,0,0,
27,85,65,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.185,0.131,27,29,NORMAL,0,0,
28,85,65,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.19,0.134,28,30,NORMAL,0,0,
29,85,65,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.195,0.137,29,31,NORMAL,0,0,
30,90,70,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.2,0.14,30,32,NORMAL,0,0,
31,90,70,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.205,0.143,31,33,NORMAL,0,0,
32,90,70,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.210,0.146,32,34,NORMAL,0,0,
33,90,70,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.215,0.149,33,35,NORMAL,0,0,
34,90,70,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.220,0.152,34,36,NORMAL,0,0,
35,95,75,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.225,0.155,35,37,NORMAL,0,0,
36,95,75,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.230,0.158,36,38,NORMAL,0,0,
37,95,75,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.235,0.161,37,39,NORMAL,0,0,
38,95,75,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.24,0.164,38,40,NORMAL,0,0,
39,95,75,"GOBLIN,ORC,SLIME,WRAITH","하급 체력 물약,하급 마력 물약,중급 체력 물약,중급 마력 물약,낡은 검,가죽 갑옷",3,0.245,0.167,39,41,NORMAL,0,0,
40,100,80,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.25,0.17,40,42,NORMAL,0,0,
41,100,80,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.255,0.173,41,43,NORMAL,0,0,
42,100,80,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.26,0.176,42,44,NORMAL,0,0,
43,100,80,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.265,0.179,43,45,NORMAL,0,0,
44,100,80,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.27,0.182,44,46,NORMAL,0,0,
45,105,85,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.275,0.185,45,47,NORMAL,0,0,
46,105,85,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.28,0.188,46,48,NORMAL,0,0,
47,105,85,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.285,0.191,47,49,NORMAL,0,0,
48,105,85,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.29,0.194,48,50,NORMAL,0,0,
49,105,85,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.295,0.197,49,51,NORMAL,0,0,
50,110,90,"GOBLIN,ORC,SLIME,WRAITH","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,낡은 검,가죽 갑옷",4,0.3,0.2,50,52,BOSS,1,1,LEORIC
51,110,90,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",4,0.305,0.203,51,53,NORMAL,0,0,
52,110,90,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",4,0.31,0.206,52,54,NORMAL,0,0,
53,110,90,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",4,0.315,0.209,53,55,NORMAL,0,0,
54,110,90,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",4,0.32,0.212,54,56,NORMAL,0,0,
55,115,95,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",4,0.325,0.215,55,57,NORMAL,0,0,
56,115,95,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",4,0.33,0.218,56,58,NORMAL,0,0,
57,115,95,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",4,0.335,0.221,57,59,NORMAL,0,0,
58,115,95,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",4,0.34,0.224,58,60,NORMAL,0,0,
59,115,95,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",4,0.345,0.227,59,61,NORMAL,0,0,
60,120,100,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.35,0.23,60,62,NORMAL,0,0,
61,120,100,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.355,0.233,61,63,NORMAL,0,0,
62,120,100,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.36,0.236,62,64,NORMAL,0,0,
63,120,100,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.365,0.239,63,65,NORMAL,0,0,
64,120,100,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.37,0.242,64,66,NORMAL,0,0,
65,125,105,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.375,0.245,65,67,NORMAL,0,0,
66,125,105,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.38,0.248,66,68,NORMAL,0,0,
67,125,105,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.385,0.251,67,69,NORMAL,0,0,
68,125,105,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.39,0.254,68,70,NORMAL,0,0,
69,125,105,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.395,0.257,69,71,NORMAL,0,0,
70,130,110,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.4,0.26,70,72,NORMAL,0,0,
71,130,110,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.405,0.263,71,73,NORMAL,0,0,
72,130,110,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.41,0.266,72,74,NORMAL,0,0,
73,130,110,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.415,0.269,73,75,NORMAL,0,0,
74,130,110,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.42,0.272,74,76,NORMAL,0,0,
75,135,115,"ORC,SLIME,WRAITH,GOLEM,MIMIC","중급 체력 물약,중급 마력 물약,상급 체력 물약,상급 마력 물약,강철 검,사슬 갑옷",5,0.425,0.275,75,77,BOSS,1,1,LICH_KING
76,135,115,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",5,0.43,0.278,76,78,NORMAL,0,0,
77,135,115,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",5,0.435,0.281,77,79,NORMAL,0,0,
78,135,115,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",5,0.44,0.284,78,80,NORMAL,0,0,
79,135,115,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",5,0.445,0.287,79,81,NORMAL,0,0,
80,140,120,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.45,0.29,80,82,NORMAL,0,0,
81,140,120,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.455,0.293,81,83,NORMAL,0,0,
82,140,120,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.46,0.296,82,84,NORMAL,0,0,
83,140,120,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.465,0.299,83,85,NORMAL,0,0,
84,140,120,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.47,0.302,84,86,NORMAL,0,0,
85,145,125,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.475,0.305,85,87,NORMAL,0,0,
86,145,125,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.48,0.308,86,88,NORMAL,0,0,
87,145,125,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.485,0.311,87,89,NORMAL,0,0,
88,145,125,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.49,0.314,88,90,NORMAL,0,0,
89,145,125,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.495,0.317,89,91,NORMAL,0,0,
90,150,130,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.5,0.32,90,92,NORMAL,0,0,
91,150,130,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.505,0.323,91,93,NORMAL,0,0,
92,150,130,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.51,0.326,92,94,NORMAL,0,0,
93,150,130,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.515,0.329,93,95,NORMAL,0,0,
94,150,130,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.52,0.332,94,96,NORMAL,0,0,
95,155,135,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.525,0.335,95,97,NORMAL,0,0,
96,155,135,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.53,0.338,96,98,NORMAL,0,0,
97,155,135,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.535,0.34,97,99,NORMAL,0,0,
98,155,135,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.54,0.344,98,100,NORMAL,0,0,
99,155,135,"WRAITH,GOLEM,MIMIC,LICH,DRAGON","상급 체력 물약,상급 마력 물약,엑스칼리버,풀 플레이트",6,0.545,0.347,99,101,BOSS,1,1,DIABLO
